;ProjectName;Status;Link;About
14;Notes from Nature - Flora of Texas and Oklahoma;live;https://www.zooniverse.org/projects/md68135/notes-from-nature-flora-of-texas-and-oklahoma/about/research;"The Texas Oklahoma Regional Consortium of Herbaria (TORCH) was developed to advocate for and to organize approximately 4 million plant specimens across more than 50 herbaria in the two-state region. Learn more about TORCH and its members at torcherbaria.org.
American Crossroads: Digitizing the Vascular Flora of the South Central United States
The advent of data mobilization from biological specimens housed in U.S. institutions has profoundly enhanced the value of museum collections and has allowed scientific questions to be addressed in novel ways. The process of mobilization involves specimen digital image capture, transcription of label data, addition of geographic coordinates, and dissemination of the data through searchable online portals. This four-year project brings together 46 collaborating herbaria to mobilize the data from nearly two million plant specimens collected in the states of Oklahoma and Texas. Most of the herbaria in these states, as well as key herbaria from other states with large Oklahoma and Texas holdings, are participating. Because these two states constitute a major crossroads of North American ecological and plant diversity, digitizing their plant specimen data can serve as a key element for understanding ecosystem evolution across the North American continent.
The project includes data for species of conservation concern, invasives, and environmental health indicators. These data enhance species and habitat conservation and management, and contribute to wide-ranging applications in biodiversity science. Members of plant enthusiast organizations -- such as native plant societies -- are also involved as participants, being very active in specimen data entry. The project will contribute to a globally competitive STEM workforce through workshops and lectures for its technicians, and through practical training for undergraduate interns.
The TORCH Data Portal provides access to specimen data and associated images from our herbaria to facilitate botanical research for the purpose of conservation, management, and education. This is an open access portal powered by Symbiota. Our data records are aggregated by iDigBio, the National Resource for Advancing Digitization of Biodiversity Collections, which is funded by the National Science Foundation. New records are made available as specimens are digitized (imaged, databased, and georeferenced) by participating herbaria. If you are interested in further assisting with digitization efforts, please contact the appropriate curator or collections manager."
15;Fishing in the past;live;https://www.zooniverse.org/projects/anneoverduin/fishing-in-the-past/about/research;"Fish are important for humans as a food source, but also for biodiversity.
We can learn more about biodiversity (the presence of many plant and animal species) and the history of our culture by looking at the use of fish in the past. Before the study of animals was real science, people (fishers, medics and collectors) exchanged information about animals in collections, objects and images. We extract information from these ancient objects and combine that with a study of the important fish books of the 16th-19th centuries (e.g. the works of Belon, Artedi, Willughby, Rondelet and Salviani). Within this project people from art and social science work together with biologists and fish experts. The result is a gathering of information about fish in the past, which other people will have access to. In the end, this information may help to throw new light on issues of long-term European biodiversity. The project will collect a large amount of information about European aquatic animals in the 16th -19th centuries: concerning species, names, pictures, spatial distribution, and uses/functions. Art is an underrated source of information. Between 1500 and 1850 fish were a popular subject for painters. Still-lives and market scenes give an idea of the use of fishes in the past. These old paintings learn us which fishes were caught, sold and consumed. Combined with information about biodiversity, we will be able to study the link between fish consumption, biodiversity and major events in the past.

We aim at creating a large gathering of information extracted from fish art. Within this gathering there will be information about the painting such as the date of the painting as well as information about the fish species, and commercial use. With this information, it will be possible to link the occurrence of fish species on paintings and their commercial purpose to certain periods in time. After the project has finished, our project will for the first time provide a vast, unique fund of information to serve research purposes of other scholars and bio-scientists. It will be important in particular to the long-term study of aquatic biodiversity in Europe (1550 until 1880). Variation in species distribution found in sources from the past may provide (further) evidence of climatic change (e.g. the ""Little Ice Age"", which began c.1550), pollution, migration of fish , etc. Together with other types of evidence, this historical information can become important to current debates on maritime and freshwater biodiversity, overfishing, and the (re-)introduction of locally extinct species. Another important question we will be able to answer with this gathering of information, is whether artists painted species that were easily available, whether they concentrated on rare species, how often they painted exotic species that did not occur in their own country, and whether they combine species from different locations in one piece of art.
You can help!
You can help us by giving the fish from the past a name. We have already selected still-lives, prints and market scenes with fish, but the species names are unknown. We have included paintings from the two major art institutions from the Netherlands. Together this includes already more than 2000 pieces of art, and possibly more will be added later. Many of the paintings involve more than one species. This means that we cannot identify them all by ourselves. Help us identify the species so we can learn more about our cultural history and changes in the biodiversity of fishes."
16;Seal Watch;live;https://www.zooniverse.org/projects/cmfoley/seal-watch/about/research;"Why Study Seals?
As top predators, seals are considered sentinels of changes within their ecosystem. Because they spend the majority of their life in water and fall at the top of the food chain, variation in the size or structure of their populations may be representative of larger changes to the dynamic ocean ecosystems. We hope to measure these changes year-round at a large geographical range of study sites in order to better understand how threats to the ecosystem disrupt the dynamics of resident wildlife.
Research Goals
By studying drone and time-lapse images taken throughout the year, we are able to answer a range of research questions. Some of our primary research goals include:
Estimating seal abundance and population dynamics
Clarifying the causes of pup mortality and its relationship to environmental conditions
Understanding how seal breeding systems (e.g. harems, mate guarding) impact population dynamics
Identifying changes in the timing of breeding and how this is affected by environmental conditions
Ultimately, we hope that our research can directly feed into policy as we build evidence to determine important regions for seals and highlight specific regions of concern. There is growing support for Marine Protected Areas at many of our study areas, which would protect these animals, but we must first fill in gaps in our understanding of their populations and behaviors.
Remote Sensing Data
Remote sensing data includes any data we are able to collect without making physical contact with our research subject. This method of data collection is often preferable for wild animals, because it minimizes stress on the animal while allowing researchers to gain tremendous insights into their life and behavior. This type of data includes remotely deployed time-lapse cameras, satellite imagery, and drone imagery. By establishing camera networks across regions where seals breed, particularly in difficult-to-access regions, we hope to capture novel behaviors and study populations that have never before been studied due to their remote locations.
Time-lapse Photos
Drone Imagery
Aerial photos help us to monitor the number of seals in a population over time, and allow us to get highly accurate counts from some of the most remote places on Earth.
Study Sites
South Georgia

Located in the Atlantic sector of the Southern Ocean, South Georgia is a British Territory that was once a hub of Southern Ocean sealing. Fur sealing operations on the island throughout the 18th and 19th centuries nearly exterminated breeding populations of Antarctic fur seals, however within decades of the end of harvesting, small breeding populations began to recolonize the island. Elephant sealing continued on South Georgia until 1964. Since the end of sealing on South Georgia, seal populations have increased, however more research is needed to estimate current population size and understand how breeding cycles might be changing in response to climate change.
Antarctic Peninsula

Currently, little is known about populations and habitat use of Antarctic seals on the Antarctic Peninsula. Weddell, leopard, and crabeater seals are common in the region, and by using remote sensing technologies, we hope to learn more about the population and breeding biology of these species.
We Need Your Help
We have collected an abundance of photographic data and continue to collect more every day, but there's simply so much data we can't analyze it by ourselves. That's where you come in. We need your help annotating images so we can convert these photographs into a database we can use to answer ecological questions. We're asking you to identify and tag each seal you see (see the 'Tutorial' for more information)."
17;Notes from Nature - MI-Bug;live;https://www.zooniverse.org/projects/jmschell/notes-from-nature-mi-bug/about/research;"The University of Michigan Museum of Zoology Insect Collection houses approximately 4.5 million insect specimens actively used in scientific research around the world. One of the collection’s primary goals is to fully digitize all of its specimens and the data associated with each specimen. To date the collection has digitized and/or databased just over 300,000 specimens. All of this data is currently shared with multiple global data aggregators that make the digitized data available to researchers, scientists and the public worldwide.
Working on transcribing data from grasshopper specimens collected over the last century helps researchers to better understand species distributions, potential pest outbreaks (some acridids), make informed decisions on species conservation requirements and efforts, learn more about climate change and human impacts on specific ecosystems, and so much more. Grasshoppers in general provide food for many other organisms (including humans in many areas), and some species can be agricultural pests. Some current research that is being done using this collection include studying the population diversity, biogeography, and evolutionary history of acridids and studying the biodiversity, behavior, and warning coloration and defense mechanisms of pyrgomorphids.
To find out more about this collection, visit our website here.
In addition, the insect collection currently shares its records with:
GBIF
iDigBio
SCAN
The University of Michigan Digital Library"
18;Notes from Nature - Terrestrial Parasite Tracker;live;https://www.zooniverse.org/projects/md68135/notes-from-nature-terrestrial-parasite-tracker/about/research;"Our goal is to better understand the distribution and evolution of parasite diversity. This project is focused on arthropod parasites of terrestrial vertebrates such as: biting flies, biting true bugs, fleas, lice, mites and ticks. By digitizing data from existing specimens we are hoping to answer several questions, such as: Where do these parasites occur? What hosts do these parasites infest? Are these parasites capable of moving to new host species? Some of these parasitic arthropods vector pathogens (for example, the rat flea vectors the bacterium responsible for bubonic plague). Where are these vectors, and has their distribution changed over time?
We have teamed up with 22 collections and institutions with the goal of digitizing over 1.2 million specimens over the next 3 years. We anticipate that this research will assist scientists, educators, and wildlife managers. We are excited to work with our Notes from Nature community to help make this project a success!"
19;Planet Four;live;https://www.zooniverse.org/projects/mschwamb/planet-four/about/research;"Welcome to Planet Four!
Planet Four is a citizen science project designed to help planetary scientists identify and measure features on the surface of Mars . . . the likes of which don’t exist on Earth. All of the images on this site depict the southern polar region, an area of Mars that we know little about, and the majority of which have never been seen by human eyes before!
What am I looking for?
We need your help to find and mark ‘fans’ and ‘blotches’ on the Martian surface. Scientists believe that these features indicate wind direction and speed. By tracking ‘fans’ and ‘blotches’ over the course of several Martian years to see how they form, evolve, disappear and reform, we can help planetary scientists better understand Mars’ climate. We also hope to find out if these features form in the same spot each year and also learn how they change.
So how do these ‘fans’ form?
Fans and blotches appear on the surface of the seasonal ice cap in the spring and early summer. Planetary scientists don’t know exactly how ‘fans’ and ‘blotches’ occur, but many believe that during the autumn a seasonal layer of carbon dioxide ice, otherwise known as dry ice, forms on the southern pole. Rather than measuring days or months, the Martian year is indicated by the solar longitude, Ls. The year begins at Ls = 0, which is the first day of spring in the northern hemisphere and the first day of autumn in the southern hemisphere. In the winter, (beginning at Ls = 90) this layer transforms into translucent slab ice. Once spring arrives, (Ls =180) sunlight is able to penetrate and warm the ground below, causing the ice to sublimate (turn directly from ice into gas) from the bottom.
This sublimation causes gas to become trapped below the ice layer under increasing pressure. When a crack or a rupture develops, the gas bursts, not unlike a geyser, out of the opening carrying along loose material eroded from the ground. When the gas and loose materials reach the surface of the ice, the particles are blown downwind of the vent, landing in fan-shaped deposits. If there isn’t any wind the materials aren’t blown, but rather drop straight down forming a ‘blotch.’
In the summer (beginning at Ls = 270) when the carbon dioxide ice has sublimed away, the 'fans' blend back into the surface material and are no longer visible. This annual process begins again in the following autumn and slowly erodes channels in the ground. These wide, shallow channels, generally less than 2 meters deep, are known as ‘spiders,’ though their technical name is araneiform.
‘Spiders’ are visible in the winter when ice is draped over them, but when the terrain is ice-free in the summer, we can see that the ‘spiders’ are actually channels carved into the surface of Mars. Figure 3 shows the surface of Mars transforming from the spring at Ls = 181.1 to Ls = 325.4, which is mid-summer.
Where do the images come from?
The images on this site come from the HiRISE (High Resolution Imaging Science Experiment) camera on board the Mars Reconnaissance Orbiter. HiRISE can image Mars with resolutions of 0.3 m/pixel (about 1 foot), resolving objects below a meter across.

Artist Renditions of Mars Reconnaissance Orbiter. Credit: NASA/JPL/University of Arizona
Why do you need our help?
There are far too many images for a group of scientists to get through alone and computers are just no good at detecting the features we are trying to mark. The human mind is far superior at analyzing images with the complexity of the Martian surface!
Your markings will be collected together with the markings made by other volunteers on that same image. Taking an average of these markings, we will produce an extremely reliable map of the ‘fan,’ and ‘blotch’ features on the surface of Mars and the first large scale measurement of wind on the planet! The sizes, shapes, and directions of the fans and blotches will help us understand how different regions evolve on the South Pole. Your classifications will help us understand how these differences impact fan and blotch formation, and in particular how the cycle of geysers and fans in these regions changes from Mars year to Mars year and what this can tell us about the Martian climate."
20;Nest Quest Go: Grosbeaks;live;https://www.zooniverse.org/projects/brbcornell/nest-quest-go-grosbeaks/about/research;"The Cornell Lab of Ornithology, nestled in the Finger Lakes region of New York, is a world-renowned ornithological research, education, and conservation facility. Among our collections are more than 300,000 nest records from the North American Nest Record Card Program that ran from the 1960s until the early 2000s. Some cards pre-date the 1960s, likely because some naturalists were collecting this information before the formal program existed. Thousands of nesting birds, were observed by citizen scientists, who then submitted detailed accounts of bird nesting behavior.

Top Left to Bottom Right: Pine Grosbeak, Evening Grosbeak, Rose-breasted Grosbeak, Blue Grosbeak, and Black-headed Grosbeak. Photo Credits on FAQ Page.
NestWatch, a citizen-science project of the Lab, is working to transcribe these data in hopes of better understanding the nesting patterns of North American birds. Valuable scientific questions can be asked and answered regarding the nesting behavior of birds over time by examining historical records. We hope to bring new discoveries to light using these previously hidden datasets.
Our collection of Grosbeak cards contains many North American species, among them the Rose-breasted and Evening Grosbeaks. Using these notes and observations we hope to better understand the nesting patterns and successes of the grosbeak family.
The research potential of this information is invaluable. Join us in meeting our goal of transcribing all of these nest records to better understand and protect birds. With over 30+ years of data we hope to be able to identify some of the challenges that have been impacting the lives of nesting birds such as; predation, pollution, cowbird parasitism, human disturbance, weather, etc. Along the way we hope to learn more about the citizen scientists behind the cards and preserve the valuable data they spent hours collecting. For the love of birds and people, happy transcription!"
21;Catalina Outer Solar System Survey;live;https://www.zooniverse.org/projects/fulsdavid/catalina-outer-solar-system-survey/about/research;"Welcome to the outer solar system!
Here, you will be looking through archival data from the Catalina Sky Survey (CSS) in an attempt to discover new Trans-Neptunian objects (TNOs).
CSS is relentless when it comes to scanning the night sky for asteroids that come close to our planet. From the mountain peaks of southern Arizona, CSS operates almost every clear night making real time discoveries, and has been doing this since 1998.
CSS can find dozens of Near-Earth Objects (NEOs) in a single night by looking for objects that move within a sequence of images taken over several minutes. However, NEOs are much closer than TNOs, and therefore in these images TNOs do not appear to move at all. The timescale of minutes is far too short to detect any motion from these distant worlds.
However, using the same night-time field images acquired over several months enables us to detect the motion of TNOs!
Why are we using CSS images to search for TNOs? Unlike other surveys for TNOs and other distant objects, CSS covers more than half of the total sky instead of only small bands near the ecliptic. This wider view is where unknown objects with larger orbital inclinations and other oddities can be found.
How can I find a TNO?
Want to know what it takes to explore the farthest reaches of our solar system? Lots of work goes into the process, but the final step is up to you! Let's walk through the process of finding a TNO to see exactly where you fit in. Below are two images taken from one of the CSS telescopes of the same place in the sky about a month apart.
Can you see two tiny green circles? Don't worry if you can't. Lots of computer processing went in to identifying an object that isn't in the same place in the two images. That would be almost impossible for a human. Lets zoom in below for a closer look.
You can probably now see the two green circles. There are also two yellow circles to show where the object is in the other image. This helps us see more clearly that the object has moved. This is a great start! But if we just look at two images, we tend to find lots and lots of false detections. To help with that, we look at four images. The likelihood of four random smudges, cosmic rays, or image artifacts lining up perfectly across months of time is much less than for two images. However, four images this big is still a LOT of cosmic real estate to look at! To help out, astronomers like to animate the images. That way, real objects look like they are moving. Below is an animation of the first two images plus two more. They were all taken about a month apart from each other.
This is STILL a lot to take in. Especially if the object we are interested in has moved even further than this one. Then we would be zoomed so far out to see the whole path the moving object that we wouldn't be able to see the object, it would be too tiny in the images. Most of this image is excess space, made up of the large gaps between the objects positions. We really only care about the small space where the object would appear from image to image. So we have cut out small squares of the images, and put them right next to each other. This is what it looks like:
This is where you come in! We need you to sort through these animated images, and help us identify which ones have REAL objects like the one above! Now this is an example with a very BRIGHT and well known TNO named Makemake. Most of the new ones we detect will be much fainter. When you are ready click the Classify tab to start. A tutorial will start automatically for your first time. Once you are in the Classify tab, you can always review the tutorial by clicking the tutorial tab."
22;Boston Phoenix, 1974!;live;https://www.zooniverse.org/projects/gmecagni/boston-phoenix-1974/about/research;"The Boston Phoenix
For nearly 50 years, The Boston Phoenix was Boston’s alternative newspaper of record, the first word on social justice, politics, and the arts and music scene. Its intrepid journalists tackled issues from safe sex and AIDS awareness to gay rights, marriage equality, and the legalization of marijuana. Ads for roommates, romantic mates, and band mates—one could find all these and more in the newspaper’s probing, irreverent, entertaining pages.
It ceased publication in March 2013, but in 2015 was preserved for posterity thanks to owner Stephen Mindich’s decision in September to donate the paper’s archives to Northeastern University's Archives and Special Collections.
Research
For any researcher visiting the Northeastern University Archives and Special Collections to research Boston’s political, cultural, and social history between the 1970’s through the early 2000’s, The Boston Phoenix is always recommended as a primary resource, and is widely used both for direct research and as a pedagogical tool.
Although there is a robust description and links to descriptions of the content acquired as part of the Phoenix collection on its portal page, https://phoenix.library.northeastern.edu/home/, there are currently very few direct entry points into the collection. Either a researcher needs to have a reference to a specific article (including a date); the only other option is to browse the bound volumes.
However, the Phoenix did produce two typed card file indices to its paper, which allowed reporters to find similar articles from years past that could help them with their writing. One index is a subject index, the other is an author index. These indices have been scanned, OCRed and made available online here:
Author Indexes, 1973- 1990
Index Subjects, 1974-1986, (bulk 1974-1982)
Filed by year, each author and subject index usually consists of >1000 cards, and includes multiple entry points including date, page, section, title, author, section, and subject.
Additionally, January-June 1974 of The Boston Phoenix had been disbound and digitized for preservation purposes. (It was too fragile for public use). These issues have been made available in the DRS. So if your article is within these date ranges, you can read the article you just indexed! https://repository.library.northeastern.edu/collections/neu:cj82m7888
Goals
The primary goal of the Boston Phoenix 1974! project is to build a community of support for Phoenix publications by asking volunteers to take a deep dive into the arts, culture, politics, and topics of Boston in 1974. This community will hopefully be inspired to read articles they have transcribed and write about them on their favorite social media platform.
The secondary goal is to make the project available for educational purposes. Several faculty members have reached out looking for hands-on projects that could keep their students engaged while studying from home and/or fulfilling experiential education requirements. Educators have successfully used Zooniverse in many different curricular settings; several of these could be modified for Phoenix work. https://blog.zooniverse.org/category/education/
A completed index could also become a prime source for other digital humanities projects, tracking trends in politics, the arts, or news through time. How did so-called 'fringe' causes, such as LGBTQA rights, marijuana decriminalization, and alternative energy become mainstream? What issues in 1974 were at the forefront of the arts and politics sections of the Phoenix?
The tertiary goal of the project is to make a fielded dataset from the 1974 cards, starting with the author index (~1500 cards). If successful, the project could also be expanded to include the 1974 subject file, and to subsequent years. It will be some time before researchers have broad, searchable access to a scanned Phoenix collection that has been OCRed, and still some more time before an accurate article subject index could be created via METS/ALTO or another standard that the library might adopt in the future."
23;Iguanas from Above;live;https://www.zooniverse.org/projects/andreavarela89/iguanas-from-above/about/research;"About Marine Iguanas
The marine iguana (Amblyrhynchus cristatus) is a charismatic and endemic species of the Galápagos Islands that is threatened with extinction. The species consists of 11 subspecies, each of which is unique and important for the survival of the species as a whole. Since the marine iguana is endemic, it is not found anywhere else on earth (not even in zoos!). If it is lost from the Galápagos Islands, then it is lost forever.
Marine Iguanas are the world’s only sea-going lizard, they have amazing adaptations like absorbing their own bone matter to survive hard times, and they inspired the creation of Godzilla. However, marine iguanas face a complex combination of threats due to human activities. These threats include predation by introduced animals like cats, rats, and dogs; marine pollution from oil spills and other sources and climate change.
Conservation authorities want to help, but the problem is that marine iguana colonies are very hard to reach, and so we have never been able to collect good estimates of how many marine iguanas are left and where exactly they can be found. Without this information, effectively conserving them is very difficult (if not impossible!), and we might be losing important populations or even whole subspecies without realizing it.
About the project
By using drones to survey the marine iguana populations, we can collect high quality images from which iguanas can be counted at a later stage. This means we survey much faster and don’t need to physically visit all the colonies. And because we can send the drones from boats, we can do this work with minimal disturbance to the delicate wildlife of the islands.
Through this work, we collect a huge number of images, and it would take our small team a long time to do all the counting. This is why we are asking for your help through our project on Zooniverse. By joining in, you are making an incredibly valuable contribution to preserving the unique wildlife of the Galapagos Islands. We are confident that our Zooniverse project will give us reliable estimates of marine iguana population sizes, but to prove it we will compare these counts with those from ground-based surveys; this will ensure that our work is scientifically rigorous. In addition, you can help us collect data on other species and interesting finds on the islands, and these results will be shared with other conservationists and scientists so that many endangered species can be helped.
Right now we are processing the data from our pilot stage, where we focussed on two islands (San Cristobal and Santa Fe), but we hope to survey the rest of the Islands within the next year so that we will soon have a complete record of the size and location of all key marine iguana populations. This information will be a huge step forward in marine iguana conservation and will really help us to protect these amazing animals from extinction in a rapidly changing world.
Our main aims are to:
*Develop a safe and non-invasive surveying technique alongside a volunteer-based method for quick counting
*Publish the first reliable estimates of the size and location of three highly endangered subspecies
*Create the first species survival plan for the marine iguana to guide their effective protection
Partners
Our many thanks to these organizations that have helped to make this project a reality:
The University of Leipzig, Germany
The Galapagos Science Centre, Ecuador
USFQ Ecuador
The International Iguana Foundation
Data collected under the permit number PC-75-19, provided by the Galapagos National Park authorities.
If you would like to know more about the project, please visit our website Iguanas from Above and get involved!
Help us to achieve our objectives and save the marine iguana!"
24;Nest Quest Go: Raptors;live;https://www.zooniverse.org/projects/brbcornell/nest-quest-go-raptors/about/research;"The Cornell Lab of Ornithology, nestled in the Finger Lakes region of New York, is a world-renowned ornithological research, education, and conservation facility. Among our collections are more than 300,000 nest records from the North American Nest Record Card Program that ran from the 1960s until the early 2000s. Some cards pre-date the 1960s, likely because some naturalists were collecting this information before the formal program existed. Thousands of nesting birds, were observed by citizen scientists, who then submitted detailed accounts of bird nesting behavior.

[Top left to bottom right: Golden Eagle, Merlin, Northern Harrier, Turkey Vulture, Osprey, and Ferruginous Hawk. Photo credits on FAQ page.]
NestWatch, a citizen-science project of the Lab, is working to transcribe these data in hopes of better understanding the nesting patterns of North American birds. Valuable scientific questions can be asked and answered regarding the nesting behavior of birds over time by examining historical records. We hope to bring new discoveries to light using these previously hidden datasets.
The raptor collection consists of cards from our collection of eagles, hawks, falcons, harriers, kites, ospreys, and vultures. These large powerful birds have acute hearing and sharp vision that is eight to ten times that of humans, which helps them to detect and locate prey from up to two miles in the air. We hope these cards help us understand more about the lives and nesting habits of these fierce, intelligent hunters.
The research potential of this information is invaluable. Join us in meeting our goal of transcribing all of these nest records to better understand and protect birds. With over 30+ years of data we hope to be able to identify some of the challenges that have been impacting the lives of nesting birds such as; predation, pollution, cowbird parasitism, human disturbance, weather, etc. Along the way we hope to learn more about the citizen scientists behind the cards and preserve the valuable data they spent hours collecting. For the love of birds and people, happy transcription!"
25;Embryo Cam;live;https://www.zooniverse.org/projects/embryophenomics/embryo-cam/about/research;"CAPTURING THE MOST DYNAMIC PROCESS OF AN ORGANISM'S LIFE HISTORY
Embryonic development is the most dynamic period of an organisms' life history and has long been a period of fascination to researchers. Embryos change on a minute by minute, hour by hour and day by day basis and trying to capture this dynamic process presents a formidable challenge to scientists.
Our Research group works at the University of Plymouth where we have developed new automated technologies for recording large numbers of aquatic embryos for the duration of their embryonic development and this enables us to capture and study the fundamental process of biological development in an unprecedented way.
Our microscopes generate huge volumes of video data, the next step is to analyse it. Manual analysis is inefficient and so to analyse video efficiently we are turning to artificial intelligence (AI). We are using AI to train the computer to autonomously spot features in developing embryos. For this, we need you! By drawing around features of interest and identifying when the embryo is performing certain behaviours you will provide the computer with ""training data"" so it can learn from you!
This is an important mission because we know that early life stages are sensitive to their environments, but not how sensitive or what they are most sensitive to. We need this understanding as the environment is changing at an unprecedented rate. Therefore, we urgently need your help to generate these data!
OUR TECHNOLOGY
What is EmbryoPhenomics?
EmbryoPhenomics is a technological platform for the autonomous video recording of developing aquatic embryos comprised of a video microscope we call OpenVIM and software called EmbryoCV (computer vision).

Here are three OpenVIM systems in our laboratory
What does it do?
This technology enables us to record and monitor embryos developing under a range of experimental conditions, such as different temperatures that reflect climate change scenarios. Analysing how development is effected by changes in environment, such as changes in temperature, will help scientists understand how climate change may effect animals developing in aquatic environments.

Timelapse video of two snail embryos developing under different environmental temperatures
Why do we need your help?
Your contribution will enable us to extend these technologies to address some of the most pressing challenges of understanding how early life stages are responding to our current environmental crisis. Furthermore, these new technologies are going to be deployed both in the laboratory and out in the environment. Your data will allow us to build intelligent devices that measure what embryos are doing out in their environment! So, please help us train the next generation of technologies for helping to understand our impact on biodiversity!
What are our research goals?
The EmbryoPhenomics research group is establishing new technologies and approaches to research in marine biology and applying these to some of the most pressing research challenges of our time. Our goal is to drive forward the limits of what is currently possible in research on developmental ecophysiology and to use these new approaches to understand how early life stages are responding in a changing world.
Check out our Embryonic development Vimeo Channel to see some of the different types of species we work with."
26;A Century of Natural History Observations;live;https://www.zooniverse.org/projects/mohonkpreservedsrc/a-century-of-natural-history-observations/about/research;The Natural History Observation Card File consists of 14,000 3x5 notecards containing extensive natural history observations of the flora and fauna of the Shawangunk Ridge recorded by Daniel Smiley (1907-1989) – prominent regional naturalist and Mohonk Preserve co-founder – and other research associates. The card file, together with the Preserve’s other natural history collections and weather/phenological data, are valuable for research because of their long-term consistency, providing a record of changes in the natural world over many decades. Each index card contains information similar to a museum specimen label (i.e. date, location, observer’s name, taxonomy), and other pertinent information such as weather, behavior (for animals), phenological information, and historical context. Because these data are so extensive and have been consistently collected over so many years, they create a unique data source for scientists to conduct a range of projects. For instance, our extensive phenological records help demonstrate how climate change is affecting the natural cycles of nature. Is spring coming earlier as the months get warmer? Are animals disappearing from the landscape and invasives taking over? Digitizing this collection will help us to support new research on a variety of scientific topics. Once this project is completed, the data will be available for access on the Environmental Data Initiative platform.
27;AI4Mars;live;https://www.zooniverse.org/projects/hiro-ono/ai4mars/about/research;"Our Motivation
Terrain is important to get around on Mars. Spirit got stuck in a sand pit and ended its mission after 7 years of exploring Mars (but far exceeding its nominal mission length of 90-days). Opportunity and Curiosity also have experienced getting stuck in sand, although they were able to continue on their missions. Don’t you think it would be nice if the Mars rover could identify dangerous terrain by herself? That is what a team at NASA Jet Propulsion Laboratory is working on using Machine learning – essentially the same technology used by self-driving cars on Earth. To do so, the rover needs training data to learn from.
The Problem
On Earth, researchers across the globe have managed to curate many different datasets for things we encounter in day-to-day life, such as house numbers, cityscapes, random stuff, and maybe most importantly, puppies and kittens!
Sadly, all of this data is of little use for mission critical, autonomous exploration of other celestial bodies...
Our Goal
We're counting on citizen scientists' help in labeling a set of images captured by Mars rovers so that we collectively create the Solar System's first public benchmark for Martian terrain classification. Uncrewed space exploration will depend on the rover knowing where it's safe to drive, land, sleep and hibernate; this project is an early step in that direction.
The Dream
With this dataset, we (that includes YOU) will be able to start work on new machine learning approaches for exploring Mars.
If you want to know more about our Mars rover missions...
Mars 2020 Rover
Mars Science Laboratory (Curiosity)
Mars Exploration Rovers (Spirit & Opportunity)
Our research on Mars rover AI...
On-board terrain classification (SPOC-Lite)
Machine Learning-based Analytics for Automated Rover Systems (MAARS)
Publications
MAARS: Machine Learning-based Analytics for Automated Rover Systems, M. Ono et al., to be presented in IEEE Aerospace Conference, 2020
Vision-Based Estimation of Driving Energy for Planetary Rovers Using Deep Learning and Terramechanics, S. Higa et al., IEEE Robotics and Automation Letters, 2019 [pdf]
Make Planetary Images Searchable: Content-based search for PDS and On-Board Datasets, M. Ono et al., LPSC 2019 [pdf]
SPOC: Deep Learning-based Terrain Classification for Mars Rover Missions, B. Rothrock et al., AIAA SPACE 2016 [pdf]"
